district,meeting_date,url,status,chars
Alachua County Public Schools,2025-03-12,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DDEMM95BE0C2,cached,13313
Alachua County Public Schools,2025-03-14,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DDEMNE5BF094,cached,2501
Alachua County Public Schools,2025-04-01,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DEAK7W508CCD,cached,10471
Alachua County Public Schools,2025-04-15,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DEAK9A50B62C,cached,17441
Alachua County Public Schools,2025-04-16,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DEAK8S509D4A,cached,4421
Alachua County Public Schools,2025-04-24,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DFUK6S50606A,cached,3030
Alachua County Public Schools,2025-05-01,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DG83VL08BA94,cached,3403
Alachua County Public Schools,2025-05-06,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DF3HQY49AD03,cached,24860
Alachua County Public Schools,2025-06-03,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DF3HTL4A0F45,cached,45690
Alachua County Public Schools,2025-06-04,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DGLRL66E57C8,cached,2712
Alachua County Public Schools,2025-06-09,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DHBQ7B53F24F,cached,3413
Alachua County Public Schools,2025-07-24,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DHAQUZ6A4DD8,cached,3299
Alachua County Public Schools,2025-07-31,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DGGSQF73C7FA,cached,42612
Alachua County Public Schools,2025-07-31,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DJDKMK527705,cached,4201
Alachua County Public Schools,2025-08-13,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKAMBZ581A5E,cached,2755
Alachua County Public Schools,2025-08-19,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DHAQPB6A20D2,cached,15994
Alachua County Public Schools,2025-09-02,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKBNWH61ECB8,cached,17407
Alachua County Public Schools,2025-09-09,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKCHM848E9B5,cached,6638
Alachua County Public Schools,2025-09-16,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKRLXA58A8E5,cached,3276
