district,meeting_date,source_type,url
Alachua County Public Schools,2025-03-12,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DDEMM95BE0C2
Alachua County Public Schools,2025-03-14,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DDEMNE5BF094
Alachua County Public Schools,2025-04-01,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DEAK7W508CCD
Alachua County Public Schools,2025-04-15,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DEAK9A50B62C
Alachua County Public Schools,2025-04-16,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DEAK8S509D4A
Alachua County Public Schools,2025-04-24,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DFUK6S50606A
Alachua County Public Schools,2025-05-01,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DG83VL08BA94
Alachua County Public Schools,2025-05-06,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DF3HQY49AD03
Alachua County Public Schools,2025-06-03,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DF3HTL4A0F45
Alachua County Public Schools,2025-06-04,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DGLRL66E57C8
Alachua County Public Schools,2025-06-09,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DHBQ7B53F24F
Alachua County Public Schools,2025-07-24,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DHAQUZ6A4DD8
Alachua County Public Schools,2025-07-31,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DGGSQF73C7FA
Alachua County Public Schools,2025-07-31,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DJDKMK527705
Alachua County Public Schools,2025-08-13,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKAMBZ581A5E
Alachua County Public Schools,2025-08-19,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DHAQPB6A20D2
Alachua County Public Schools,2025-09-02,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKBNWH61ECB8
Alachua County Public Schools,2025-09-09,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKCHM848E9B5
Alachua County Public Schools,2025-09-16,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DKRLXA58A8E5
Alachua County Public Schools,2025-10-07,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DL7RCT6D63C6
Alachua County Public Schools,2025-10-15,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DLZK8Q50ABD3
Alachua County Public Schools,2025-11-04,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DMEQXG6B7078
Alachua County Public Schools,2025-11-19,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DMHPJ964D071
Alachua County Public Schools,2025-11-19,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DMHPL265074F
Alachua County Public Schools,2025-11-19,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DMHPND656BF3
Alachua County Public Schools,2025-11-19,board_agenda_packet,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=DN7NNR60C7FA
