county,district,boarddocs_site,portal,evidence_url,notes
Alachua,Alachua County Public Schools,fl/alaco,BoardDocs,data/sources.csv,development corpus
Baker,Baker County School District,,unknown,https://www.bakerk12.org/board-of-education/about-the-board/board-meetings,"research agent. Board Meetings page lists only the 2026 meeting schedule and citizen-input instructions; no agenda/minutes portal is linked anywhere in the Board of Education section. Older agenda PDFs were hosted on the district's previous Blackboard CMS (e.g. https://www.bakerk12.org/cms/lib/FL02213740/Centricity/Domain/348/02.16.2021.Agenda_With%20Supplement.pdf). No BoardDocs site found (site:go.boarddocs.com Baker County / Macclenny returns nothing). Do not confuse with bakerschools.org (City of Baker, LA)."
Bay,Bay District Schools,fl/bcsdfl,BoardDocs,https://go.boarddocs.com/fl/bcsdfl/Board.nsf/Public,research agent; verified by corpus.py meetings. BoardDocs Plus site titled 'Bay District Schools BoardDocs Plus' (Active Meetings page also indexed). District page https://www.bay.k12.fl.us/o/bds/page/school-board-meetings could not be parsed by the fetch tool. Older minutes (2018-2023) were also posted as pages on bay.k12.fl.us.
Bradford,Bradford County School District,fl/bradfordcsd,BoardDocs,https://go.boarddocs.com/fl/bradfordcsd/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Brevard,Brevard Public Schools,,Diligent Community,https://brevardschools.community.highbond.com/Portal/MeetingTypeList.aspx,"research agent. BoardDocs fl/brevco holds policies only; meetings on Diligent Community. CONFLICT, three systems: current meeting agendas/minutes (through Sept 2026) are on Diligent Community (brevardschools.community.highbond.com) and the district School Board page says agendas and minutes are available through Diligent Community. BoardDocs fl/brevco exists and holds Board Policies and Procedures (https://go.boarddocs.com/fl/brevco/Board.nsf/Public). Legacy AgendaPlus site https://agenda.brevardschools.org/publishing/ap-agendas.html ends at May 2025."
Broward,Broward County Public Schools,,Granicus,https://www.browardschools.com/bcps-departments/office-of-communications/legislative-information/official-school-board-records,research agent. Page states Official School Board Records 'oversees and maintains the electronic agenda (Granicus)'. Portal: https://browardschools.granicus.com/ViewPublisher.php?view_id=1 (meetings after Nov 4 2020); district agenda page https://www.browardschools.com/school-board/meeting-agendas. Older in-house eAgenda at https://webappe.browardschools.com/eagenda/.
Calhoun,Calhoun County School District,fl/ccsdfl,BoardDocs,https://go.boarddocs.com/fl/ccsdfl/Board.nsf/Public,research agent; verified by corpus.py meetings. Search result titled 'Calhoun County School Board - BoardDocs'; district School Board page https://calhounflschools.org/school-board (search snippet: board uses BoardDocs for meeting agendas and minutes) could not be fetched (connection dropped 3x).
Charlotte,Charlotte County Public Schools,fla/ccpsfl,BoardDocs,data/sources.csv,development corpus
Citrus,Citrus County School District,fl/citrus,BoardDocs,data/sources.csv,development corpus
Clay,Clay County District Schools,,AgendaPlus (Agile Tech Consulting),https://agenda.oneclay.net/publishing/ap-agendas.html,research agent. BoardDocs fl/myoneclay holds policies only; meetings on AgendaPlus (Agile Tech Consulting). CONFLICT: meeting agendas/minutes are published on AgendaPlus at agenda.oneclay.net (meetings through May 2026); BoardDocs fl/myoneclay hosts the School Board Policy Manual (https://go.boarddocs.com/fl/myoneclay/Board.nsf/Public?open=&id=welcome). District School Board page https://www.oneclay.net/page/school-board could not be parsed by the fetch tool.
