district,meeting_date,meeting_name,meeting_id,url
Alachua County Public Schools,2020-12-31,Click here to view the 2020 Archived Minutes and Meeting Agendas,C8UHYY4AD8E4,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C8UHYY4AD8E4
Alachua County Public Schools,2021-01-01,"January-August 2021 Legal Ads, Meeting Agendas and Minutes",C8ZS6871133B,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C8ZS6871133B
Alachua County Public Schools,2021-08-17,"School Board of Alachua County, Florida",C5CNS8611944,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C5CNS8611944
Alachua County Public Schools,2021-08-26,"School Board of Alachua County, Florida",C66M6N5796B3,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C66M6N5796B3
Alachua County Public Schools,2021-09-07,"School Board of Alachua County, Florida",C5TR786C9321,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C5TR786C9321
Alachua County Public Schools,2021-09-07,School Board Of Alachua County Public Hearing Adoption of the Final Budget and Millage,C6DN5R5D4D73,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C6DN5R5D4D73
Alachua County Public Schools,2021-09-08,School Board Of Alachua County Workshop,C6FP7Y60F07D,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C6FP7Y60F07D
Alachua County Public Schools,2021-09-21,"School Board of Alachua County, Florida",C6HNX661A49D,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C6HNX661A49D
Alachua County Public Schools,2021-10-05,"School Board of Alachua County, Florida",C73M9P5876EE,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C73M9P5876EE
Alachua County Public Schools,2021-10-06,School Board Of Alachua County Workshop,C7ETKD621B05,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7ETKD621B05
Alachua County Public Schools,2021-10-19,"School Board of Alachua County, Florida",C7ETL4622AE8,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7ETL4622AE8
Alachua County Public Schools,2021-11-02,"School Board of Alachua County, Florida",C7SGBY4306D7,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7SGBY4306D7
Alachua County Public Schools,2021-11-03,School Board Of Alachua County Workshop,C7SGEE432F98,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7SGEE432F98
Alachua County Public Schools,2021-11-10,"School Board of Alachua County, Florida",C8KJ8V4BF27F,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C8KJ8V4BF27F
Alachua County Public Schools,2021-11-16,"School Board of Alachua County, Florida",C7SGD7431AE5,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7SGD7431AE5
Alachua County Public Schools,2021-11-16,"School Board of Alachua County, Florida",C8GG6K42433C,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C8GG6K42433C
Alachua County Public Schools,2021-11-16,"School Board of Alachua County, Florida",C8GGT7454F2E,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C8GGT7454F2E
Alachua County Public Schools,2021-12-07,"School Board of Alachua County, Florida",C7SGEQ434AEA,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7SGEQ434AEA
Alachua County Public Schools,2021-12-08,School Board Of Alachua County Workshop,C7SGFY4357F1,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C7SGFY4357F1
Alachua County Public Schools,2021-12-08,"School Board of Alachua County, Florida",C92KDF50E1C5,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C92KDF50E1C5
Alachua County Public Schools,2022-01-01,LEGAL ADS for 2022,CAEK8U502BB6,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=CAEK8U502BB6
Alachua County Public Schools,2022-01-05,School Board Of Alachua County Workshop,C9KJA34C2DB6,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=C9KJA34C2DB6
Alachua County Public Schools,2022-01-05,"School Board of Alachua County, Florida",CABTQ37702E8,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=CABTQ37702E8
Alachua County Public Schools,2022-01-12,School Board Of Alachua County Workshop-CANCELLED,CA84QW0CB9E8,https://go.boarddocs.com/fl/alaco/Board.nsf/Download-AgendaDetailed?open&id=CA84QW0CB9E8
