case_id,document_date,source_type,meeting_id,official_url,local_path,status,retrieved_at,sha256,reason
miami_dade_2022_04_15,2020-10-21,meeting_agenda,Bd102120,https://pdfs.dadeschools.net/Bdarch/2020/Bd102120/regular-agenda.html,data/raw/miami_dade_2022_04_15/board_archive/2020-10-21/66f6e1f0e73029e8__regular-agenda.html,accepted,2026-08-27T18:45:48Z,5180e17f00e144f4982d0f6cf9b3dc80b0d28e4a24f70c8e1ef45627da6fc5ab,
miami_dade_2022_04_15,2020-11-12,procurement_solicitation,ITN-20-007-DP,http://procurement.dadeschools.net/bidsol/pdf/bids/itn-20-007-dp.pdf,data/raw/miami_dade_2022_04_15/procurement_solicitation/2020-11-12/ITN-20-007-DP/ed930db75b7e7863__itn-20-007-dp.pdf,accepted,2026-08-27T19:21:19Z,903c8790f12552a7825147eac1939f6fd40d7e843e20fc60c1363236e33cf847,
miami_dade_2022_04_15,2020-11-22,budget_archive,acfr_fy2020,https://api.dadeschools.net/WMSFiles/145/Comprehensive-Annual-Fin-Report/Comprehensive_Annual_Financial_Report_FY_2020.pdf,data/raw/miami_dade_2022_04_15/budget_archive/2020-11-22/acfr_fy2020/b11448503c7daedf__Comprehensive_Annual_Financial_Report_FY_2020.pdf,accepted,2026-08-27T19:38:13Z,14bed642aebc14021c2b4b49171b0d40953b188cc4c636f9e7b7aa1b1dd8c1ae,Document date from embedded PDF CreationDate metadata
miami_dade_2022_04_15,2020-12-09,meeting_agenda,Bd120920,https://pdfs.dadeschools.net/Bdarch/2020/Bd120920/regular-agenda.html,data/raw/miami_dade_2022_04_15/board_archive/2020-12-09/5bf3e4891c1af4b4__regular-agenda.html,accepted,2026-08-27T18:46:53Z,2eba9a2adc6e75da584f10e75aaac4058b718b135f25de595dddfc12a8e5e7d4,
miami_dade_2022_04_15,2021-01-13,meeting_agenda,Bd011321,https://pdfs.dadeschools.net/Bdarch/2021/Bd011321/regular-agenda.html,data/raw/miami_dade_2022_04_15/board_archive/2021-01-13/35b10be3f72c8d4f__regular-agenda.html,accepted,2026-08-27T18:47:26Z,dd39a8ac8064fd693850fe7be82bf580a7647a99e4060e6fbf1dcd752867ab30,
miami_dade_2022_04_15,2021-03-17,meeting_agenda,Bd031721,https://pdfs.dadeschools.net/Bdarch/2021/Bd031721/regular-agenda.html,data/raw/miami_dade_2022_04_15/board_archive/2021-03-17/26d5c24a649bb483__regular-agenda.html,accepted,2026-08-27T18:49:23Z,d020bc93d492675f78c26d7ff7bc4a97f3e95bb382d4ffc42b6ac7b180985147,
miami_dade_2022_04_15,2021-04-15,procurement_solicitation,ITB-20-033-DP,http://procurement.dadeschools.net/bidsol/pdf/bids/itb-20-033-dp.zip,data/raw/miami_dade_2022_04_15/procurement_solicitation/2021-04-15/ITB-20-033-DP/ba638d8982caf314__ITB-20-033-DP_Telephone_Equipment_and_Repair.pdf,accepted,2026-08-27T19:24:05Z,4f2061b8adbc6e54b6ed3585f21f7dbbb8139e0c34bc3ae4cf83138f6e90d5f2,Extracted primary official ZIP member: ITB-20-033-DP Telephone Equipment and Repair.pdf
miami_dade_2022_04_15,2021-04-21,meeting_agenda,Bd042121,https://pdfs.dadeschools.net/Bdarch/2021/Bd042121/regular-agenda.html,data/raw/miami_dade_2022_04_15/board_archive/2021-04-21/ad0cd5aed17b33c5__regular-agenda.html,accepted,2026-08-27T18:50:27Z,6cf7fd6a332fd0db1aa5613c00a741fb16dec7287161080047406bd96672fea7,
miami_dade_2022_04_15,2021-04-28,workshop_material,Bd042821,https://pdfs.dadeschools.net/Bdarch/2021/Bd042821/materials.pdf,data/raw/miami_dade_2022_04_15/board_archive/2021-04-28/deed169a014daa1b__materials.pdf,accepted,2026-08-27T18:50:43Z,84015fbced5b2986dc114da36bad6fab1bd4aeaf32afa826e75c6e21d11aa6a4,
miami_dade_2022_04_15,2021-06-23,meeting_agenda,Bd062321,https://pdfs.dadeschools.net/Bdarch/2021/Bd062321/regular-agenda.html,data/raw/miami_dade_2022_04_15/board_archive/2021-06-23/9335bc78315e404b__regular-agenda.html,accepted,2026-08-27T18:52:19Z,fefd272d863a37a01209cc5441a3d8fc1ad6b926585863fea92a1ec728bbc607,
