district,outcome_date,window_start,window_end,checked_at,official_surface,query,candidate_url,candidate_date,status,reason
Pinellas County Schools,2022-07-12,2021-01-12,2022-07-11,2026-08-26,https://go.boarddocs.com/fl/pcsfl/Board.nsf/Public,"Jan 25 2022 purchasing summary for Cyber Security Risk Management Program or UDT",https://go.boarddocs.com/fl/pcsfl/Board.nsf/pfiles/CAYSXH729C38/$file/Purchasing%20Agenda%20Summary%201-25-22.pdf,2022-01-25,rejected_unrelated,"UDT appears only as the lowest bidder for bulk laptop cases; the document does not identify the cybersecurity program."
Pinellas County Schools,2022-07-12,2021-01-12,2022-07-11,2026-08-26,https://go.boarddocs.com/fl/pcsfl/Board.nsf/Public,"Feb 22 2022 purchasing summary for Cyber Security Risk Management Program or UDT",https://go.boarddocs.com/fl/pcsfl/Board.nsf/pfiles/CBWKB750B545/$file/PURCHASING%20AGENDA%20SUMMARY%202-22-22.pdf,2022-02-22,rejected_unrelated,"The record is a revised award for FortiClient content-filtering licenses under the district's 2020 next-generation internet firewall contract; it is not the Cyber Security Risk Management Program."
Pinellas County Schools,2022-07-12,2021-01-12,2022-07-11,2026-08-26,https://go.boarddocs.com/fl/pcsfl/Board.nsf/Public,"Apr 26 2022 purchasing summary for cybersecurity program UDT firewall or endpoint",https://go.boarddocs.com/fl/pcsfl/Board.nsf/pfiles/CDLJLM4D26EF/$file/PURCHASING%20AGENDA%20SUMMARY%204-26-22.pdf,2022-04-26,rejected_unrelated,"The actual PDF contains no cybersecurity-program, UDT, firewall, Fortinet, or endpoint evidence."
Pinellas County Schools,2022-07-12,2021-01-12,2022-07-11,2026-08-26,https://go.boarddocs.com/fl/pcsfl/Board.nsf/Public,"Jun 14 2022 purchasing summary for cybersecurity program UDT firewall or endpoint",https://go.boarddocs.com/fl/pcsfl/Board.nsf/pfiles/CF6RL46E6EDC/$file/PURCHASING%20AGENDA%20SUMMARY%206-14-22.pdf,2022-06-14,rejected_unrelated,"The actual 137-page PDF contains no cybersecurity-program, UDT, firewall, Fortinet, or endpoint evidence."
Pinellas County Schools,2022-07-12,2021-01-12,2022-07-11,2026-08-26,https://go.boarddocs.com/fl/pcsfl/Board.nsf/Public,"Jun 28 2022 purchasing summary for Cyber Security Risk Management Program or UDT",https://go.boarddocs.com/fl/pcsfl/Board.nsf/pfiles/CFSTK377A698/$file/PURCHASING%20AGENDA%20SUMMARY%206-28-22.pdf,2022-06-28,rejected_unrelated,"UDT appears for audiovisual and classroom technology items including headphones, printers, projectors, and ScreenBeam devices; no same-initiative evidence appears."
Pinellas County Schools,2022-07-12,2021-01-12,2022-07-11,2026-08-26,https://go.boarddocs.com/fl/pcsfl/Board.nsf/Public,"All in-window workshops for cyber security risk management UDT firewall endpoint or ESSER",,,not_found,"A BoardDocs sweep of 16 workshops found no distinct meeting with visible evidence for the exact Cyber Security Risk Management Program beyond the existing January 18 workshop."
Sarasota County Schools,2024-03-19,2022-09-19,2024-03-18,2026-08-26,https://scs.novusagenda.com/agendapublic/,"Custom date range 09/19/2022-03/18/2024 containing text firewall",,,not_found,"The official NovusAGENDA item search returned no pre-outcome firewall record."
Sarasota County Schools,2024-03-19,2022-09-19,2024-03-18,2026-08-26,https://scs.novusagenda.com/agendapublic/,"Custom date range 09/19/2022-03/18/2024 containing text Palo Alto",,,not_found,"The official NovusAGENDA item search returned no pre-outcome Palo Alto record."
Sarasota County Schools,2024-03-19,2022-09-19,2024-03-18,2026-08-26,https://scs.novusagenda.com/agendapublic/,"Custom date range 09/19/2022-03/18/2024 containing text SHI",https://scs.novusagenda.com/agendapublic/Coversheet.aspx?ItemID=5506&MeetingID=1177,2023-12-12,rejected_unrelated,"The item and its attachment authorize a generic $575,000 pool of SHI cybersecurity solutions and services; neither names a firewall, Palo Alto, appliances, or the later $1.15 million initiative."
Sarasota County Schools,2024-03-19,2022-09-19,2024-03-18,2026-08-26,https://scs.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=5733&MeetingID=1214,"Outcome attachment displayed on ItemID 5733",https://scs.novusagenda.com/agendapublic/AttachmentViewer.ashx?AttachmentID=7732&ItemID=5733,2024-03-19,rejected_same_meeting,"The current attachment is dated March 19 and belongs to the outcome item; its March 4 upload does not create an independent pre-outcome meeting."
Sarasota County Schools,2024-03-19,2022-09-19,2024-03-18,2026-08-26,https://scs.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=5733&MeetingID=1214,"Provided AttachmentID 7817 on outcome ItemID 5733",https://scs.novusagenda.com/agendapublic/AttachmentViewer.ashx?AttachmentID=7817&ItemID=5733,2024-03-19,rejected_same_meeting,"The URL is scoped to the outcome item and therefore is not an independent meeting; the endpoint returned the official portal's 404 page when rechecked."
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"BoardDocs full-text search for exact phrase Fortinet 6K with attachments enabled",,,not_found,"The only matches were the June 9 outcome agenda item and its minutes; no pre-outcome 6K record was returned."
