district,sample_split,outcome_date,outcome_type,outcome_id,title,vendor,amount,url,verification_status,prewindow_status
Hillsborough County Public Schools,development,2024-03-05,SUBSCRIPTION_APPROVAL,,Computer Endpoint Protection,"Crayon Software Experts, LLC",859752.08,https://go.boarddocs.com/fl/sdhc/Board.nsf/goto?open&id=D27KP652C617,verified,verified_sources_present
Pinellas County Schools,development,2022-07-12,CONTRACT_AWARD,,Cyber Security Risk Management Program,"United Data Technologies, Inc.",610351.56,https://go.boarddocs.com/fl/pcsfl/Board.nsf/goto?open&id=CFTHY24AB100,verified,verified_sources_present
Sarasota County Schools,unassigned,2024-03-19,APPROVAL,,Next-Generation Firewall Appliances and Three Years of Support and Maintenance,SHI International,1150000.00,https://scs.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=5733&MeetingID=1214,verified,no_same_initiative_source_found_yet
Polk County Public Schools,unassigned,2026-06-09,RENEWAL,,DGR Fortinet 6K Firewall Renewal,DGR Systems,402705.51,https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=DQYRRB6EE61D,verified,no_same_initiative_source_found_yet
Miami-Dade County Public Schools,unassigned,2026-04-14,ITN,ITN-25-016-PM,Security Information & Event Management (SIEM),,,http://procurement.dadeschools.net/bidsol/pdf/bids/ITN-25-016-PM.pdf,verified,not_researched
Miami-Dade County Public Schools,unassigned,2024-02-07,ITN,ITN-22-046-MF,Identity and Access Management Services and Single Sign-On Solution,,,http://procurement.dadeschools.net/bidsol/pdf/bids/ITN-22-046-MF.pdf,verified,not_researched
Miami-Dade County Public Schools,unassigned,2022-04-15,RFP,RFP-21-009-VF,ESSER NIST Cybersecurity Services,,,http://procurement.dadeschools.net/bidsol/pdf/bids/RFP-21-009-VF.pdf,verified,not_researched
Escambia County Public Schools,unassigned,2025-11-21,RFP,470 260006189,Firewall,,,https://static.escambia.k12.fl.us/procurement/BPA/2026/FY26_470_260006189_Firewall_(2).pdf,verified,not_researched
Charlotte County Public Schools,unassigned,2022-01-20,RFP,21/22-82KS,"Firewall Services, per FCC USAC's E-rate Program",,,https://publicdata.usac.org/SL/Prd/Form470/334989/220014432/RFP.pdf,verified,not_researched
Hernando County School District,unassigned,2022-02-16,FORM_470,220021785,New Firewall,,,https://publicdata.usac.org/SL/Prd/Form470/335024/220021785/Current/USAC_FCC_FORM_470_APPLICATION_220021785_CERTIFIED.pdf,verified,not_researched
Orange County Public Schools,unassigned,2022-07-11,ITB,ITB2207216,Cisco Security Enterprise License Agreement,,,https://vendorlink.ocps.net/external/bids,verified,not_researched
Seminole County Public Schools,unassigned,2025-10-28,ITN,25260036N-AZ,District Firewall Solution,,,https://www.myvendorlink.com/agencies/scps/solicitationdetails?vsn=190836,verified,not_researched
Volusia County School Board,unassigned,2022-09-12,RFQ,RFQ-23-009KG,Firewall Upgrade,,,https://www.myvendorlink.com/agencies/vcsb/solicitationdetails?vsn=136017,verified,not_researched
Alachua County Public Schools,unassigned,2026-01-27,IFB,IFB 26-31,PURCHASE OF CLOUD NATIVE FIREWALL AS A SERVICE PLATFORM,,,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/5640/Acps/2530a847-7837-4add-8bcb-bae8149580cd/IFB-26-31-Fire-Wall-as-a-Service---FWaaS-%28E-Rate%29.pdf,verified,not_researched
Flagler County School District,unassigned,2022-01-21,GENERAL_SOLICITATION,22-13P,Next Generation Firewall,,,https://procurement.opengov.com/portal/flaglerschools/projects/16005/document?section=all,verified,not_researched
