district,meeting_date,source_type,url
Alachua County Public Schools,2020-09-01,board_agenda,data/raw/control_alachua/boarddocs/agendas/2020-09-01_C8ZQN869F18B.pdf
Alachua County Public Schools,2020-10-06,board_agenda,data/raw/control_alachua/boarddocs/agendas/2020-10-06_C8ZQR26A7903.pdf
Alachua County Public Schools,2020-11-03,board_agenda,data/raw/control_alachua/boarddocs/agendas/2020-11-03_C8ZQY66B2053.pdf
Alachua County Public Schools,2021-01-19,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-01-19_C8ZSJ3723351.pdf
Alachua County Public Schools,2021-03-02,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-03-02_C8ZSTD734C03.pdf
Alachua County Public Schools,2021-04-20,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-04-20_C8ZSVC73CA93.pdf
Alachua County Public Schools,2021-06-15,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-06-15_C8ZT7U74D92C.pdf
Alachua County Public Schools,2021-08-03,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-08-03_C8ZTCA75E466.pdf
Alachua County Public Schools,2021-09-21,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-09-21_C6HNX661A49D.html
Alachua County Public Schools,2021-11-10,board_agenda,data/raw/control_alachua/boarddocs/agendas/2021-11-10_C8KJ8V4BF27F.html
Alachua County Public Schools,2022-01-05,board_agenda,data/raw/control_alachua/boarddocs/agendas/2022-01-05_C9KJA34C2DB6.html
Alachua County Public Schools,2022-02-15,board_agenda,data/raw/control_alachua/boarddocs/agendas/2022-02-15_CANS6P6F3456.html
Charlotte County Public Schools,2020-07-23,procurement_bid_award,data/raw/charlotte_2022_01_20/procurement/candidates/20_21-1652LB_1652lb_posted_tab.pdf
Charlotte County Public Schools,2020-07-24,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2020-07-24_BHVRUM6F0D37_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2020-07-30,budget,data/raw/charlotte_2022_01_20/budget/2020-2021_tentative_budget.pdf
Charlotte County Public Schools,2020-09-10,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2020-09-10_BHWLZS53E306_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2020-10-13,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2020-10-13_BHWM7Q557783_Regular_School_Board_Meeting.html
Charlotte County Public Schools,2020-12-08,board_agenda_packet,data/raw/charlotte_2022_01_20/boarddocs/packets/2020-12-08_BUDHWL49BB94_Regular_School_Board_Meeting.html
