application_number,billed_entity_number,billed_entity_name,district,funding_year,certified_date,function,service_type,form_pdf,rfp_url
190003047,35124,PACE CENTER FOR GIRLS,,2019,2018-10-30,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/400285/190003047/Original/USAC_FCC_FORM_470_APPLICATION_190003047_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/400285/190003047/2019%20PACE%20BM%20Equipment.xlsx
190008723,17019223,Beacon College Prep Inc,,2019,2018-12-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17019223/190008723/Original/USAC_FCC_FORM_470_APPLICATION_190008723_CERTIFIED.pdf,
190008723,17019223,Beacon College Prep Inc,,2019,2018-12-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17019223/190008723/Original/USAC_FCC_FORM_470_APPLICATION_190008723_CERTIFIED.pdf,
190009613,211833,ROWLETT ACADEMY,,2019,2018-12-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/362203/190009613/Original/USAC_FCC_FORM_470_APPLICATION_190009613_CERTIFIED.pdf,
190009613,211833,ROWLETT ACADEMY,,2019,2018-12-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/362203/190009613/Original/USAC_FCC_FORM_470_APPLICATION_190009613_CERTIFIED.pdf,
190009617,17002462,DIOCESE OF ORLANDO OFFICE OF CATHOLIC SCHOOLS,,2019,2018-12-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002462/190009617/Original/USAC_FCC_FORM_470_APPLICATION_190009617_CERTIFIED.pdf,
190009617,17002462,DIOCESE OF ORLANDO OFFICE OF CATHOLIC SCHOOLS,,2019,2018-12-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002462/190009617/Original/USAC_FCC_FORM_470_APPLICATION_190009617_CERTIFIED.pdf,
190010056,17002036,The Charter Schools of Excellence,,2019,2018-12-18,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002036/190010056/Original/USAC_FCC_FORM_470_APPLICATION_190010056_CERTIFIED.pdf,
190010056,17002036,The Charter Schools of Excellence,,2019,2018-12-18,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002036/190010056/Original/USAC_FCC_FORM_470_APPLICATION_190010056_CERTIFIED.pdf,
190010574,127663,GILCHRIST COUNTY SCHOOL DIST,Gilchrist County School District,2019,2018-12-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Original/USAC_FCC_FORM_470_APPLICATION_190010574_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Gilchrist%20Next%20Gen%20Firewall%202018.doc
190010574,127663,GILCHRIST COUNTY SCHOOL DIST,Gilchrist County School District,2019,2018-12-20,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Original/USAC_FCC_FORM_470_APPLICATION_190010574_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Gilchrist%20Next%20Gen%20Firewall%202018.doc
190011697,127561,BAKER COUNTY SCHOOL DISTRICT,Baker County School District,2019,2018-12-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/Original/USAC_FCC_FORM_470_APPLICATION_190011697_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/RFP%20Baker%20Count%20School%20District%20E%20Rate%20Category%202%20Firewall%2019%2020.docx
190011697,127561,BAKER COUNTY SCHOOL DISTRICT,Baker County School District,2019,2018-12-20,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/Original/USAC_FCC_FORM_470_APPLICATION_190011697_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/RFP%20Baker%20Count%20School%20District%20E%20Rate%20Category%202%20Firewall%2019%2020.docx
190010662,16051836,"CENTRO MATER CHILD CARE SERVICES, INC.",,2019,2018-12-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401494/190010662/Original/USAC_FCC_FORM_470_APPLICATION_190010662_CERTIFIED.pdf,
190014269,226941,PALM BEACH MARITIME ACADEMY,,2019,2019-01-09,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/367427/190014269/Original/USAC_FCC_FORM_470_APPLICATION_190014269_CERTIFIED.pdf,
190014351,16050397,CHILDRENS EDUCATIONAL SERVICES,,2019,2019-01-09,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/384899/190014351/Original/USAC_FCC_FORM_470_APPLICATION_190014351_CERTIFIED.pdf,
190014545,16057893,"FLORENCE FULLER CHILD DEVELOPMENT CENTERS, INC",,2019,2019-01-09,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401622/190014545/Original/USAC_FCC_FORM_470_APPLICATION_190014545_CERTIFIED.pdf,
190015291,16040448,FAMILY CHRISTIAN ASSOCIATION OF AMERICA,,2019,2019-01-11,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401138/190015291/Original/USAC_FCC_FORM_470_APPLICATION_190015291_CERTIFIED.pdf,
190015226,127605,WAKULLA COUNTY SCHOOL DISTRICT,Wakulla County School District,2019,2019-01-14,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334770/190015226/Original/USAC_FCC_FORM_470_APPLICATION_190015226_CERTIFIED.pdf,
190015226,127605,WAKULLA COUNTY SCHOOL DISTRICT,Wakulla County School District,2019,2019-01-14,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334770/190015226/Original/USAC_FCC_FORM_470_APPLICATION_190015226_CERTIFIED.pdf,
190010096,17016242,Village of Excellence Academy,,2019,2019-01-16,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17016242/190010096/Original/USAC_FCC_FORM_470_APPLICATION_190010096_CERTIFIED.pdf,
190010096,17016242,Village of Excellence Academy,,2019,2019-01-16,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17016242/190010096/Original/USAC_FCC_FORM_470_APPLICATION_190010096_CERTIFIED.pdf,
190016822,16045205,LE JARDIN COMMUNITY CENTER,,2019,2019-01-17,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382036/190016822/Original/USAC_FCC_FORM_470_APPLICATION_190016822_CERTIFIED.pdf,
190016948,16045205,LE JARDIN COMMUNITY CENTER,,2019,2019-01-17,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382036/190016948/Original/USAC_FCC_FORM_470_APPLICATION_190016948_CERTIFIED.pdf,
190016948,16045205,LE JARDIN COMMUNITY CENTER,,2019,2019-01-17,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382036/190016948/Original/USAC_FCC_FORM_470_APPLICATION_190016948_CERTIFIED.pdf,
190017757,16056854,CHARTER SCHOOLS USA,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Current/USAC_FCC_FORM_470_APPLICATION_190017757_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Corrected%202019%20Charter%20USA%20SCHOOLs%20IC%20RFP.xlsx
190017757,16056854,CHARTER SCHOOLS USA,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Current/USAC_FCC_FORM_470_APPLICATION_190017757_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/2019%20Charter%20USA%20SCHOOLs%20IC%20RFP.xlsx
