district,cluster_id,initiative_name,first_event_date,n_events,outcome_title,outcome_date,similarity,lead_days,matched,label
Bay District Schools,bay-district-schools-0,Fortinet Firewall Support Renewal,2025-04-22,4,,,,,False,
Bay District Schools,bay-district-schools-1,Fortinet FortiAnalyzer,2025-04-22,2,,,,,False,
Charlotte County Public Schools,charlotte-county-public-schools-0,Firewall,2026-07-30,1,,,,,False,
Collier County Public Schools,collier-county-public-schools-0,District Security Systems Services,2025-04-09,2,,,,,False,
DeSoto County School District,desoto-county-school-district-0,Mini Dome Security Cameras,2025-08-26,1,,,,,False,
Flagler Schools,flagler-schools-0,Internet Access with Basic Firewall,2026-02-10,2,,,,,False,
Holmes District School Board,holmes-district-school-board-0,Uniti Fiber Internet/Firewall/WAN Services,2025-03-11,1,,,,,False,
Holmes District School Board,holmes-district-school-board-1,ClassLink Subscription Renewal,2025-07-08,1,,,,,False,
Holmes District School Board,holmes-district-school-board-2,District Antivirus/BitDefender,2026-02-10,1,,,,,False,
Lake County Schools,lake-county-schools-0,Cybersecurity Maturity Assessment,2025-03-24,1,,,,,False,
Lake County Schools,lake-county-schools-1,ClassLink SSO and Rostering Renewal,2025-10-27,1,,,,,False,
Leon County Schools,leon-county-schools-0,Security Patch and Endpoint Support Renewal,2025-05-27,2,,,,,False,
Leon County Schools,leon-county-schools-1,Safety and Security of School Buildings Grant,2026-02-24,1,,,,,False,
Leon County Schools,leon-county-schools-2,Microsoft User Licensing and Enterprise Services Renewal,2026-02-24,1,,,,,False,
Leon County Schools,leon-county-schools-3,NWRDC Disaster Recovery Agreement Extension,2026-06-16,1,,,,,False,
Leon County Schools,leon-county-schools-4,Thrive Data Backup and Disaster Recovery Renewal,2026-06-16,1,,,,,False,
Madison County School District,madison-county-school-district-0,Microsoft 365 Security and Retention Upgrade,2026-06-01,1,,,,,False,
Okaloosa County School District,okaloosa-county-school-district-0,Destin High School Cybersecurity Program Equipment,2025-11-10,1,,,,,False,
Okeechobee County School Board,okeechobee-county-school-board-0,AristotleK12 Webfilter and Teacher Monitoring,2025-06-10,1,,,,,False,
Okeechobee County School Board,okeechobee-county-school-board-1,FortiSIEM Purchase,2025-07-29,1,,,,,False,
Okeechobee County School Board,okeechobee-county-school-board-2,Fortinet Firewall and EDR License Renewal,2025-07-29,1,,,,,False,
Pasco County Schools,pasco-county-schools-0,Comprehensive Risk Management Program Cyber Liability Coverage,2025-06-17,1,,,,,False,
Pinellas County Schools,pinellas-county-schools-0,Data and Privacy Liability Coverage,2025-06-10,1,,,,,False,
Pinellas County Schools,pinellas-county-schools-1,Lightspeed Filter and Digital Insight,2025-12-16,1,,,,,False,
Pinellas County Schools,pinellas-county-schools-2,Microsoft Enterprise Enrollment and Azure Services,2026-06-23,1,,,,,False,
Putnam County School District,putnam-county-school-district-0,Co-Managed Advanced IT Security and IT Services,2025-09-23,1,,,,,False,
School Board of Highlands County,school-board-of-highlands-county-0,iBoss Firewall as a Service,2026-02-03,1,,,,,False,
School District of Indian River County,school-district-of-indian-river-county-0,Structured Cabling and Security Infrastructure Contract Extension,2025-03-10,1,,,,,False,
School District of Indian River County,school-district-of-indian-river-county-1,FY 2026–2027 E-Rate Category 2 Network and Firewall Procurement,2026-03-16,2,,,,,False,
St. Lucie Public Schools,st-lucie-public-schools-0,HPE/Cohesity Backup Protection Subscription Renewal,2025-10-14,1,,,,,False,
St. Lucie Public Schools,st-lucie-public-schools-1,Fortinet Fortigate 3001G Firewall and FortiNDR,2026-04-14,1,,,,,False,
St. Lucie Public Schools,st-lucie-public-schools-2,Microsoft Defender for Endpoint Protection Renewal,2026-05-12,1,,,,,False,
Sumter County School District,sumter-county-school-district-0,ManageEngine Patch Manager Plus Subscription,2025-12-09,1,,,,,False,
Sumter County School District,sumter-county-school-district-1,iBoss Subscription Renewal,2026-04-07,1,,,,,False,
Taylor County School District,taylor-county-school-district-0,TCSD/SS Firewall Renewal,2025-05-27,1,,,,,False,
Taylor County School District,taylor-county-school-district-1,KnowBe4 Security Awareness and PhishER Subscription,2025-07-01,1,,,,,False,
Taylor County School District,taylor-county-school-district-2,District Camera Installation and Storm Replacement,2025-10-20,1,,,,,False,
Taylor County School District,taylor-county-school-district-3,Fortinet Firewall,2026-01-27,2,,,,,False,
Taylor County School District,taylor-county-school-district-4,Linewize Internet Content Filtering,2026-05-19,1,,,,,False,
Volusia County Schools,volusia-county-schools-0,Gaggle Safety Management,2025-04-08,1,,,,,False,
Volusia County Schools,volusia-county-schools-1,Microsoft EES Enhanced Security Licensing,2025-07-29,1,,,,,False,
Walton County School District,walton-county-school-district-0,Action1 Patching Solution,2025-06-17,1,,,,,False,
Walton County School District,walton-county-school-district-1,Auvik Network Monitoring System,2026-09-01,1,,,,,False,
